,Dataset,Story,Reid,Thomas,Elahe,Agreement,Gold,Label,Narrative Clause
train,Elahe,15,Orientation,Orientation,Orientation,3,Orientation,Orientation,"Well, I don't check the mouse traps in the basement for a couple months"
train,Elahe,15,Orientation,Orientation,Orientation,3,Orientation,Orientation,and I'm stuck with three stinking dead mice.
train,Elahe,15,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,"And yes, I was wondering where that stink was coming from."
train,Elahe,15,Action,Action,Action,3,Action,Action,"Pretty gross cleaning them up,"
train,Elahe,15,Stative - Consequence,Action,Stative- Local Context,1,Stative - Consequence,Action,since one mouse rotted and fell apart.
train,Elahe,15,Evaluation,Action,Evaluation,2,Evaluation,Evaluation,"I think some of the cleaning will just be done by time,"
train,Elahe,15,Orientation,Orientation,Orientation,3,Orientation,Orientation,since it is a storage area only.
train,Elahe,15,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,I hope got most of it and the stink clears out.
train,Elahe,15,Action,Action,Action,3,Action,Action,I did put on the fan.
train,Elahe,15,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,I hope some mouse didn't just die without getting caught in a trap
train,Elahe,15,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,since I'd never find it in the basement mess.
train,Elahe,15,Stative- Local Context,Stative- Local Context,Stative- Local Context,3,Stative- Local Context,Orientation,The smell is too non-local.
train,Elahe,15,Stative - Consequence,Stative - Consequence,Action,2,Stative - Consequence,Action,#Update: the big stink is gone the next morning.
train,Elahe,15,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,Success.
train,Elahe,16,Orientation,Orientation,Orientation,3,Orientation,Orientation,I spent 4 days in Los Angeles this past weekend.
train,Elahe,16,Orientation,Orientation,Orientation,3,Orientation,Orientation,I was looking for a humble abode to call home and doing interviews for a new job.
train,Elahe,16,Orientation,Action,Action,2,Action,Action,"While I was in town, my friend that was with me wanted to visit some relatives."
train,Elahe,16,Action,Action,Action,3,Action,Action,When she told me that they lived...
test,Elahe,17,Orientation,Orientation,Orientation,3,Orientation,Orientation,"So, unfortunately I couldnÕt make the Gamesindustry.biz party tonight for two reasons."
test,Elahe,17,Orientation,Orientation,Orientation,3,Orientation,Orientation,The first was that my phone finally strained out its last ounce of functionality from theÉletÕs not extend that metaphorÉfrom its battery.
test,Elahe,17,Orientation,Orientation,Orientation,3,Orientation,Orientation,The second was that it takes a really quite unbelievably long time to travel from Brighton to Oxford on trains in the evening;
test,Elahe,17,Orientation,Orientation,Orientation,3,Orientation,Orientation,"just to give you some idea, it involves visiting Gatwick even though youÕre not getting a plane."
test,Elahe,17,Action,Orientation,Orientation,2,Orientation,Orientation,This did give me a chance to walk aimlessly around the airport shops while waiting for my connection:
test,Elahe,17,Evaluation,Orientation,Evaluation,2,Evaluation,Evaluation,this is something in which I take a perverse pleasure.
test,Elahe,17,Action,Evaluation,Evaluation,2,Evaluation,Evaluation,"I drop the usual thanks to people I met who were nice lest they ever stumble across my postings:bigups to Hugh from audio bods High Score, the ubiquitous and award-winning(ly smug) Richard Jacques, the Mustard Corporation guys, the Strawdog guys (donÕt click on that one - the music which emerges is loud and terrifying) and everyone else I bumped into."
test,Elahe,17,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,I didnÕt meet anyone who annoyed me even slightly - at a development convention.
test,Elahe,17,Action,Action,Action,3,Action,Action,"But I did hear someone say Òwell, this is certainly sub-optimalÓ after a fire alarm went off and everyone had to stand around outside."
test,Elahe,17,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,I think the highlight for me was Paul Moore and Tom JohnsonÕs session on movie sound:
test,Elahe,17,Stative - Consequence,Evaluation,Evaluation,2,Evaluation,Evaluation,it really opened my ears to some possibilities by making me think differently about cinematic-style sound design.
test,Elahe,17,Evaluation,Stative- Local Context,Orientation,1,Orientation,Orientation,One of my key problems as an audio engineer is that I tend to make overly-dense and complex mixes -
test,Elahe,17,Stative- Local Context,Stative- Local Context,Stative- Local Context,3,Stative- Local Context,Orientation,itÕs a beginner error stemming from insecurity which it takes a lot of people a long time to get over.
test,Elahe,17,Stative - Consequence,Stative- Local Context,Evaluation,1,Stative - Consequence,Action,"Listening to movie sound from classics like Raging Bull and Once Upon a Time in the West, you can really hear the benefits of sparsity."
test,Elahe,17,Action,Action,Evaluation,2,Action,Action,"On a similar theme, David Moellerstedt from DICE showed their brilliant attenuation system in Battlefield -"
test,Elahe,17,Orientation,Stative- Local Context,Stative- Local Context,2,Stative- Local Context,Orientation,"the game selects key sounds based on perceived loudness and relevance, then ducks the rest of the mix when theyÕre triggered;"
test,Elahe,17,Orientation,Stative- Local Context,Stative- Local Context,2,Stative- Local Context,Orientation,"itÕs effectively a side-chaining style effect,"
test,Elahe,17,Evaluation,Evaluation,Stative- Local Context,2,Evaluation,Evaluation,and it works so well in a game with such a complex mix.
test,Elahe,17,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,I got a lot of inspiration for SynapseÕs audio from these talks:
test,Elahe,17,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,itÕs probably the most productive conference IÕve ever been to in a lot of ways.
test,Elahe,17,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,Ste Curran should have been awarded something for Best Slide (narrowly beating out a guy from Dolby who had an image of a woman with a toilet-paper-dispensing hat and the headline ÒIs It Practical?Ó).
test,Elahe,17,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,The reason is simply this:
train,Elahe,18,Orientation,Orientation,Orientation,3,Orientation,Orientation,Last week after posting I realized the week marked seven months since I was diagnosed with breast cancer.
train,Elahe,18,Orientation,Orientation,Orientation,3,Orientation,Orientation,"It's interesting that it also marked the end of radiation, the slew of follow up appointments and a bunch of tests, which by the way I have no idea what the results are, and my oncologist was very lackadaisical about when I would know."
train,Elahe,18,Evaluation,Action,Evaluation,2,Evaluation,Evaluation,He thought that since I felt good results would be good.
train,Elahe,18,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,That's nice.
train,Elahe,18,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,arghh.
train,Elahe,18,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,And like any one else who's life is marked with cancer you really want to put...
train,Elahe,19,Orientation,Orientation,Orientation,3,Orientation,Orientation,"Last Sunday, we finally had a dinner for David M., along with our neighbors since we hadn't seen them for a while`."
train,Elahe,19,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,"Good to be back to our frequent dinner sharing and hanging out,"
train,Elahe,19,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,and very nice to have time with David M. too.
train,Elahe,19,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,It felt good to be cooking again.
train,Elahe,19,Action,Action,Action,3,Action,Action,Michelle brought over the most giant bottle of wine that she got via work.
train,Elahe,19,Evaluation,Action,Action,2,Action,Action,We actually made a very decent dent into the wine!
development,Elahe,20,Orientation,Orientation,Orientation,3,Orientation,Orientation,"Silly Site o' the DayLast evening's muscle pull had stiffened up during the night, making it necessary to commute by express bus this morning,"
development,Elahe,20,Evaluation,Orientation,Orientation,2,Orientation,Orientation,but everyone at work was very understanding
development,Elahe,20,Evaluation,Orientation,Orientation,2,Orientation,Orientation,"and it was a pretty quiet day anyhow,"
development,Elahe,20,Action,Action,Action,3,Action,Action,so I worked through lunch
development,Elahe,20,Action,Action,Action,3,Action,Action,"and left early,"
development,Elahe,20,Evaluation,Action,Evaluation,2,Evaluation,Evaluation,as well as deciding to take tomorrow off to rest the leg and bum so I'll be okay for the trip to and from Mom's on Saturday.
development,Elahe,20,Action,Action,Action,3,Action,Action,"Finally caught up with email, where I found Rich Watson, a wonderfully twisted individual whom I'm proud to call my friend, recommending that I pass along word of a blog called Cake Wrecks."
development,Elahe,20,Evaluation,Action,Action,2,Action,Action,And so I have.
train,Elahe,21,Orientation,Orientation,Orientation,3,Orientation,Orientation,Yesterday I attended a mothers' group playdate.
train,Elahe,21,Orientation,Orientation,Orientation,3,Orientation,Orientation,"Formally it was an ""ice cream social."""
train,Elahe,21,Evaluation,Evaluation,Orientation,2,Evaluation,Evaluation,"A big fan of ice cream, I didn't intend to miss it, even though my child is too young to play with the happy, babbling, walking toddlers."
train,Elahe,21,Orientation,Orientation,Orientation,3,Orientation,Orientation,"My child was, after pitching one of his usual fits about being put into the car seat for the fifteen minutes it took to drive there, finally, blissfully asleep in his stroller (read: torture chamber), so I had hands and, for a moment, mind free."
train,Elahe,21,Orientation,Evaluation,Orientation,2,Orientation,Orientation,"The mothers who turned up all seemed like women I could relate to, would love to get to know, and would find interesting--the type who have opinions about social issues and like to read."
train,Elahe,21,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,I was eager to dig in and get to know them.
train,Elahe,21,Orientation,Stative- Local Context,Orientation,2,Orientation,Orientation,"Unfortunately for my social craving, each woman was busy being a mother--which meant following behind their toddlers to keep them from tripping into the street, or retrieving a ball that was sent flying into the next yard, or scooping ice cream into tiny mouths."
train,Elahe,21,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,I felt disappointed.
train,Elahe,21,Action,Action,Action,3,Action,Action,I ate my indulgent bowl of ice cream with extra jimmies and caramel sauce silently.
train,Elahe,21,Action,Action,Action,3,Action,Action,"I asked a few questions,"
train,Elahe,21,Action,Action,Action,3,Action,Action,"made a few comments,"
train,Elahe,21,Action,Action,Action,3,Action,Action,and was politely answered before that particular mother had to return to her task of being absolutely available to her child.
train,Elahe,21,Action,Stative- Local Context,Stative- Local Context,2,Stative- Local Context,Orientation,"And as I sat there in my sort of smugness, feeling disappointed not to have discussion with what I knew to be intelligent, interesting women--"
train,Elahe,21,Action,Action,Action,3,Action,Action,my own child struck up a caterwauling so loud that I was barely heard shouting over him that I would go walk him in his stroller to quiet him.
train,Elahe,21,Stative- Local Context,Evaluation,Evaluation,2,Evaluation,Evaluation,The stroller walk was a temporary balm.
train,Elahe,21,Action,Evaluation,Evaluation,2,Evaluation,Evaluation,Feeding him even more temporary.
train,Elahe,21,Stative - Implied Action,Evaluation,Evaluation,2,Evaluation,Evaluation,Changing him had almost no effect at all.
train,Elahe,21,Action,Action,Action,3,Action,Action,"And so I got up with apologies, barely heard over his plaintive wailing, and madly dashed for my car, trying to speak reasonably to my child that we would soon be home."
train,Elahe,21,Evaluation,Stative- Local Context,Evaluation,2,Evaluation,Evaluation,That his suffering was nearly over.
train,Elahe,21,Evaluation,Stative- Local Context,Evaluation,2,Evaluation,Evaluation,"That if he could just hang in there a few minutes more, the lovely rythm of the car would lull him to sleep or at least calm."
train,Elahe,21,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,And in my haste I realized that I was in exactly the same position as those other mothers.
train,Elahe,21,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,That intelligent conversation from my end would also have to wait.
development,Elahe,22,Evaluation,Orientation,Evaluation,2,Evaluation,Evaluation,I never planned to have a stroke at the age of 28.
development,Elahe,22,Evaluation,Action,Evaluation,2,Evaluation,Evaluation,Let me rephrase that.
development,Elahe,22,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,I never planned to have a stroke ever.
development,Elahe,22,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,"But if I had to have one, 28 was a pretty good age for it."
development,Elahe,22,Evaluation,Orientation,Evaluation,2,Evaluation,Evaluation,I knew this from experience.
development,Elahe,22,Orientation,Orientation,Orientation,3,Orientation,Orientation,"I was sitting next to my grandmother when she had her first stroke, back in the early 1980s."
development,Elahe,22,Orientation,Orientation,Orientation,3,Orientation,Orientation,She was in her 60s.
development,Elahe,22,Orientation,Orientation,Orientation,3,Orientation,Orientation,I was 11 or 12.
development,Elahe,22,Orientation,Orientation,Orientation,3,Orientation,Orientation,We were in the back yard at my aunt and uncle's house on Long Island
test,Elahe,23,Orientation,Orientation,Orientation,3,Orientation,Orientation,Short version:
test,Elahe,23,Orientation,Orientation,Orientation,3,Orientation,Orientation,"Still clueless about what is considered good and bad in the OB world, so just taking their word for it that everything is still ok."
test,Elahe,23,Orientation,Evaluation,Orientation,2,Orientation,Orientation,Ever-present but changing fears;
test,Elahe,23,Orientation,Evaluation,Orientation,2,Orientation,Orientation,plus new thoughts I have no name for.
test,Elahe,23,Orientation,Orientation,Orientation,3,Orientation,Orientation,Only 3 weeks until the big u/s.
test,Elahe,23,Orientation,Action,Evaluation,1,Evaluation,Evaluation,They tell me all is well with TK.
test,Elahe,23,Action,Action,Action,3,Action,Action,We heard the heartbeat again (145bpm)
test,Elahe,23,Action,Action,Action,3,Action,Action,and the NP checked my uterus
test,Elahe,23,Evaluation,Stative- Local Context,Evaluation,2,Evaluation,Evaluation,and was happy with the size.
test,Elahe,23,Stative- Local Context,Evaluation,Evaluation,2,Evaluation,Evaluation,"My weight didn't change since my last appointment,"
test,Elahe,23,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,but the NP didn't seem too concerned.
test,Elahe,23,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,She seemed sure that I would start gaining weight soon.
test,Elahe,23,Action,Action,Stative- Local Context,2,Action,Action,I was able to confirm that my trisomy risk numbers were based on my donor's age.
test,Elahe,23,Action,Stative- Local Context,Stative- Local Context,2,Stative- Local Context,Orientation,Urine sample showed no traces of sugar like last time
test,Elahe,23,Stative- Local Context,Stative- Local Context,Stative- Local Context,3,Stative- Local Context,Orientation,and there were also none of whatever else they were looking for.
test,Elahe,23,Action,Action,Action,3,Action,Action,The appointment ended with a blood draw.
test,Elahe,23,Action,Action,Action,3,Action,Action,"Actually, it also started with a blood draw,"
test,Elahe,23,Action,Action,Action,3,Action,Action,but the nurse couldn't find my vein even though she poked around quite a bit.
test,Elahe,23,Action,Action,Action,3,Action,Action,The NP tried again at the end
test,Elahe,23,Stative - Consequence,Evaluation,Action,1,Evaluation,Evaluation,"and was able to get the blood, which I was grateful for."
test,Elahe,23,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,"Not so much because I didnÕt want to be poked any more,"
test,Elahe,23,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,but because they would have sent me to the lab if the NP couldn't do it
test,Elahe,23,Orientation,Stative- Local Context,Orientation,2,Orientation,Orientation,and the lab always has at least an hour wait.
test,Elahe,23,Stative- Local Context,Stative- Local Context,Orientation,2,Stative- Local Context,Orientation,"The blood work is for checking Alpha-fetoprotein (AFP) which, when elevated, suggests spinal cord defects."
test,Elahe,23,Stative- Local Context,Stative- Local Context,Orientation,2,Stative- Local Context,Orientation,"Also, it checks for Smith-Lemli-Opitz Syndrome (SLOS) caused by an enzyme deficiency which screws up cholesterol metabolism."
test,Elahe,23,Stative- Local Context,Stative- Local Context,Orientation,2,Stative- Local Context,Orientation,"There are a couple of other neurological issues the blood work will test for,"
test,Elahe,23,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,but I can't remember what they are.
test,Elahe,23,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,I should hear about the results in 7-10 days.
test,Elahe,23,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,I'm kind of surprised I have this relatively lackadaisical attitude with these OB appointments.
test,Elahe,23,Evaluation,Evaluation,Orientation,2,Evaluation,Evaluation,"In the RE days, I would have researched everything beforehand and known exactly what kind of tests to expect at each appointment and what the normal range is supposed to be for those tests."
test,Elahe,23,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,It's not that I don't worry that something will happen or that one or more of the tests will come back abnormal.
test,Elahe,23,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,I do.
test,Elahe,23,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,"I thought that with all these good appointments I have had in the last few months, I would start feeling less fearful of something going wrong."
test,Elahe,23,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,But my fear level stays about the same.
test,Elahe,23,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,"I still have many fears about TK,"
test,Elahe,23,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,but the nature of those fear have changed.
test,Elahe,23,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,I worry more these days that something is wrong with TK and less that I will lose TK altogether.
test,Elahe,23,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,I also find that the idea there may be a little one added to our household in January is starting to enter my thoughts more and more.
test,Elahe,23,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,Those thoughts temper the fears I have quite a bit.
test,Elahe,23,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,"On the other hand, I'm at a loss, because I'm not exactly sure what to do with these thoughts."
test,Elahe,23,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,"Fear I'm used to, but this new thing?"
test,Elahe,23,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,I don't even know what to call it let alone what to do with it.
test,Elahe,23,Action,Action,Action,3,Action,Action,I checked the date of my next appointment
test,Elahe,23,Evaluation,Action,Evaluation,2,Evaluation,Evaluation,and found a nice surprise.
test,Elahe,23,Evaluation,Stative- Local Context,Evaluation,2,Evaluation,Evaluation,"I thought I'd be going in when I am 20 weeks,"
test,Elahe,23,Stative- Local Context,Stative- Local Context,Stative- Local Context,3,Stative- Local Context,Orientation,but instead my appointment is actually at 19 weeks or 3 weeks from now.
test,Elahe,23,Stative- Local Context,Stative- Local Context,Stative- Local Context,3,Stative- Local Context,Orientation,It's the full anatomy scan
test,Elahe,23,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,"and if TK cooperates (and is still alive), we'll be finding out the sex."
test,Elahe,24,Orientation,Evaluation,Orientation,2,Orientation,Orientation,"That would be me, apparently - a walking Mary Kay Cosmetics Target to be exact."
test,Elahe,24,Orientation,Evaluation,Orientation,2,Orientation,Orientation,"It's bad enough that I have an addiction to shopping at Target,"
test,Elahe,24,Evaluation,Evaluation,Orientation,2,Evaluation,Evaluation,"but when I'm standing there in the children's underwear aisle looking for some NON-pink-flowery-or-Hannah-Montana-y bikini briefs for the Catholic Girlie, I really don't expect to be approached by a Mary Kay representative giving away free facials."
test,Elahe,24,Orientation,Orientation,Orientation,3,Orientation,Orientation,"And yet, that's exactly what happened yesterday."
test,Elahe,24,Orientation,Orientation,Orientation,3,Orientation,Orientation,Underwear aisle and all.
test,Elahe,24,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,Huh?
test,Elahe,24,Orientation,Orientation,Orientation,3,Orientation,Orientation,So here's how it all went down -
test,Elahe,24,Orientation,Orientation,Orientation,3,Orientation,Orientation,I'm standing there smack dab in the girl's section of the local Super Target looking baffled because I cannot find plain 'ole white or beige undies in my daughter's size when this 20 year old-ish woman approaches me:
test,Elahe,24,Action,Evaluation,Evaluation,2,Evaluation,Evaluation,Her: Wow!
test,Elahe,24,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,Is that a real Coach handbag?
test,Elahe,24,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,I love it!
test,Elahe,24,Action,Orientation,Evaluation,1,Evaluation,Evaluation,"Me: Actually, no."
test,Elahe,24,Evaluation,Orientation,Evaluation,2,Evaluation,Evaluation,It's a knock-off.
test,Elahe,24,Action,Action,Action,3,Action,Action,*moves handbag closer to self*
test,Elahe,24,Action,Evaluation,Evaluation,2,Evaluation,Evaluation,"Her: Oh, well it's really very nice."
test,Elahe,24,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,Hey!
test,Elahe,24,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,That's such a pretty necklace you're wearing!
test,Elahe,24,Action,Evaluation,Evaluation,2,Evaluation,Evaluation,"Me: Why, err, thank you."
test,Elahe,24,Action,Action,Evaluation,2,Action,Action,*furrows brow thinking this woman is getting stranger by the moment*
test,Elahe,24,Action,Action,Orientation,2,Action,Action,"Her: By the way, I just started selling Mary Kay cosmetics,"
test,Elahe,24,Stative- Local Context,Stative- Local Context,Orientation,2,Stative- Local Context,Orientation,"and we have a great new line of colors,"
test,Elahe,24,Stative- Local Context,Stative- Local Context,Orientation,2,Stative- Local Context,Orientation,and I'm giving FREE FACIALS.
test,Elahe,24,Stative - Implied Action,Stative- Local Context,Evaluation,1,Evaluation,Evaluation,Here let me give you my card.
test,Elahe,24,Action,Evaluation,Evaluation,2,Evaluation,Evaluation,"Me: No, that's ok."
test,Elahe,24,Stative- Local Context,Stative- Local Context,Stative- Local Context,3,Stative- Local Context,Orientation,I already have a Mary Kay person.
test,Elahe,24,Action,Evaluation,Evaluation,2,Evaluation,Evaluation,Her: Ohhh!
test,Elahe,24,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,What's her name?
test,Elahe,24,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,Maybe I know her!
test,Elahe,24,Action,Evaluation,Evaluation,2,Evaluation,Evaluation,Me: Hmmm‰?
test,Elahe,24,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,I can't seem to remember.
test,Elahe,24,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,"It always escapes me, silly isn't it?"
test,Elahe,24,Action,Evaluation,Evaluation,2,Evaluation,Evaluation,"Her: Well, ok then."
test,Elahe,24,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,But I do like your necklace.
test,Elahe,24,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,Have a really great day!
test,Elahe,24,Action,Evaluation,Stative- Local Context,1,Action,Action,"Then I'm left pushing my cart quickly in the opposite direction thinking to myself, What happened there?"
test,Elahe,24,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,Was I really just accosted by a Mary Kay salesperson?
test,Elahe,24,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,That was so odd.
test,Elahe,24,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,I guess building a client base in the makeup-selling industry requires desperate measures
test,Elahe,24,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,but I mean really now.
test,Elahe,24,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,"Her approach freaked even me out,"
test,Elahe,24,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,and I don't think I freak out quite that easily.
test,Elahe,24,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,What in the world was the name of my Mary Kay person anyway?
test,Elahe,24,Evaluation,Evaluation,Action,2,Evaluation,Evaluation,*shakes head*
train,Elahe,25,Orientation,Orientation,Orientation,3,Orientation,Orientation,I got this email this week
train,Elahe,25,Orientation,Orientation,Orientation,3,Orientation,Orientation,"(I get hundreds a day so I Just glanced over it),"
train,Elahe,25,Orientation,Orientation,Orientation,3,Orientation,Orientation,and it was about videos of me being up on the Web.
train,Elahe,25,Orientation,Action,Orientation,2,Orientation,Orientation,"See I did the Heroes Happen Here Product Launch of Windows Server 2008, SQL 2008 and Visual Studio."
train,Elahe,25,Orientation,Action,Orientation,2,Orientation,Orientation,I got to do the launches in 6 cities around the US.
train,Elahe,25,Orientation,Orientation,Action,2,Orientation,Orientation,"I even did the one in Dallas, my home town."
train,Elahe,25,Stative - Implied Action,Action,Orientation,1,Orientation,Orientation,"At the Dallas one there was a film crew taping everything,"
train,Elahe,25,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,but I didn't think much about it.
train,Elahe,25,Orientation,Orientation,Orientation,3,Orientation,Orientation,They were from France.
train,Elahe,25,Evaluation,Stative- Local Context,Evaluation,2,Evaluation,Evaluation,The room I presented in was crazy.
train,Elahe,25,Orientation,Orientation,Orientation,3,Orientation,Orientation,"Dallas has the huge convention center, that has many rooms and new areas they have added in the last few years."
train,Elahe,25,Orientation,Stative- Local Context,Orientation,2,Orientation,Orientation,"For what ever reason we were put in the Arena, which is a very very (at least 40 years) old Arena."
train,Elahe,25,Orientation,Orientation,Orientation,3,Orientation,Orientation,It was for basket ball games.
train,Elahe,25,Orientation,Orientation,Orientation,3,Orientation,Orientation,The total room seats about 7000 people.
train,Elahe,25,Action,Action,Orientation,2,Action,Action,We had about 1500 come to the HHH launch there.
train,Elahe,25,Action,Action,Action,3,Action,Action,Even my parents got to come see me present.
train,Elahe,25,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,"So go watch the videos,"
train,Elahe,25,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,they are fun and hopefully informational!!
train,Elahe,25,Orientation,Not Story,Orientation,2,Orientation,Orientation,By the way EMEA is our Europe subsidiary.
train,Elahe,26,Orientation,Orientation,Orientation,3,Orientation,Orientation,It's been 7 years since I have taken one of those Test.
train,Elahe,26,Orientation,Orientation,Orientation,3,Orientation,Orientation,I think the first one I took was Windows 3.1
train,Elahe,26,Orientation,Orientation,Orientation,3,Orientation,Orientation,It has to be around 1993 or 1994.
train,Elahe,26,Orientation,Orientation,Orientation,3,Orientation,Orientation,Over the years I took somewhere in the neighborhood of 37 or 38 of them.
train,Elahe,26,Orientation,Orientation,Orientation,3,Orientation,Orientation,"MCSE NT, NT 2000, etc."
train,Elahe,26,Orientation,Evaluation,Orientation,2,Orientation,Orientation,"During the last 7 years I really haven't had the time, or need to take one."
train,Elahe,26,Orientation,Orientation,Orientation,3,Orientation,Orientation,Well this week has been different to say the least.
train,Elahe,26,Orientation,Orientation,Orientation,3,Orientation,Orientation,"Our team is in Seattle for an internal to Microsoft Technical training week long session called TechReady 7, Seven being the 7th one,"
train,Elahe,26,Orientation,Orientation,Orientation,3,Orientation,Orientation,they do them every 6 months.
train,Elahe,26,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,"I wish I could tell you more about what we are learning this week,"
train,Elahe,26,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,but that just isn't allowed.
train,Elahe,26,Action,Action,Orientation,2,Action,Action,Our team had a study session at lunch on Tuesday to go try to pass the Windows Vista TS exam 070-620.
train,Elahe,26,Action,Evaluation,Action,2,Action,Action,So I studied for 3 hours
train,Elahe,26,Action,Action,Action,3,Action,Action,and went in
train,Elahe,26,Stative - Consequence,Action,Action,2,Action,Action,and passed it.
train,Elahe,26,Stative- Local Context,Evaluation,Action,1,Evaluation,Evaluation,One of my co-workers Harold Wong (blogs.technet.com/haroldwong) passed 6 test in that one day.
train,Elahe,26,Orientation,Orientation,Orientation,3,Orientation,Orientation,No longer do they have the MCSE for Windows Server 2008.
train,Elahe,26,Orientation,Orientation,Orientation,3,Orientation,Orientation,So it's now called MCITP.
train,Elahe,26,Action,Orientation,Orientation,2,Orientation,Orientation,"5 test unless you take the upgrade, which I can't since I never took Windows 2003 test."
train,Elahe,26,Action,Action,Action,3,Action,Action,Yesterday I tried an exchange test.
train,Elahe,26,Stative - Consequence,Stative - Consequence,Evaluation,2,Stative - Consequence,Action,"No luck there,"
train,Elahe,26,Evaluation,Stative- Local Context,Stative- Local Context,2,Stative- Local Context,Orientation,but most people I have talked to haven't passed that one either.
train,Elahe,26,Orientation,Stative- Local Context,Stative- Local Context,2,Stative- Local Context,Orientation,It's full of Powershell commands.
train,Elahe,26,Orientation,Stative- Local Context,Stative- Local Context,2,Stative- Local Context,Orientation,"You have to know the correct syntax, go figure."
train,Elahe,26,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,Today was a new Day.
train,Elahe,26,Stative- Local Context,Orientation,Stative- Local Context,2,Stative- Local Context,Orientation,They had test prep training sessions in the morning for the 3 Windows Server 2008 core test for MCITP.
train,Elahe,26,Action,Action,Action,3,Action,Action,"I went and took 70-640, 70-642, and 70-643."
train,Elahe,26,Stative - Consequence,Action,Action,2,Action,Action,I PASSED all three.
train,Elahe,26,Stative- Local Context,Stative- Local Context,Stative- Local Context,3,Stative- Local Context,Orientation,So now I have passed 4 test in one week!!!!
